Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;PARIS LYON;VALENCE ALIXAN TGV;130.0;323.0;0.0;None;47.0;12.06631206;1.415995872;None;44.0;33.97272727;5.24122807;None;33.0;5.24122807;17.0;0.0;15.0;30.0;25.0;25.0;5.0;0.0
2018-01;National;PERPIGNAN;PARIS LYON;305.0;166.0;0.0;None;0.0;10.13395062;3.401506024;None;36.0;48.68425926;10.48413655;None;36.0;0.0;21.0;9.0;20.68965517;41.37931034;10.34482759;27.5862069;0.0;0.0
2018-01;National;None;PARIS LYON;241.0;273.0;0.0;None;113.0;9.696312684;4.131196581;None;42.0;42.43055556;7.002319902;None;42.0;7.002319902;24.0;8.0;38.46153846;28.20512821;7.692307692;20.51282051;0.0;5.128205128
2018-01;International;LAUSANNE;PARIS LYON;219.0;144.0;3.0;None;110.0;3.083181818;2.491489362;None;21.0;30.35238095;4.70248227;None;22.0;4.70248227;9.0;2.0;28.57142857;14.28571429;33.33333333;9.523809524;0.0;14.28571429
2018-01;International;PARIS EST;STUTTGART;186.0;155.0;4.0;None;20.0;118.28872062060988;0.0;None;0.0;33.31;5.728366446;None;15.0;5.728366446;6.0;2.0;26.66666667;6.666666667;20.0;46.66666667;0.0;75.91572970554272
2018-01;International;PARIS LYON;BARCELONA;387.0;62.0;0.0;None;16.0;11.94479167;2.667741935;None;8.0;49.5;8.548387097;None;8.0;8.548387097;4.0;1.0;218.89587774190275;37.5;198.7610364132147;25.0;0.0;0.0
2018-01;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91.0;393.0;2.0;None;204.0;6.400490196;3.455754476;None;77.0;24.27424242;6.0728474;None;35.0;346.4742866898222;19.0;4.0;37.5;37.5;8.928571429;5.357142857;0.0;1.785714286
2018-01;National;PARIS MONTPARNASSE;ANGERS SAINT LAUD;1702.5938009787928;385.0;3.0;None;49.0;8.362585034;0.730104712;None;52.0;19.84358974;4.24943281;None;22.0;4.24943281;8.0;1.0;21.42857143;23.80952381;21.42857143;23.80952381;0.0;0.0
2018-01;National;METZ;PARIS EST;85.0;307.0;1.0;None;0.0;8.046614583;0.0;None;64.0;14.51614583;3.320098039;None;17.0;3.320098039;8.0;0.0;18.91891892;8.108108108;37.83783784;29.72972973;2.702702703;2.702702703
2018-01;National;PARIS EST;NANCY;94.0;299.0;3.0;None;40.0;5.262083333;0.0;None;0.0;17.36153846;58.47323134889636;None;7.0;1.024155405;4.0;0.0;218.89587774190275;10.0;20.0;50.0;72.0439601026586;0.0
